Timestamp,Consent Agreement: I confirm that I am at least 18 years old and consent to my anonymized data being collected for academic research and non-clinical algorithm development.,Gender,Current Academic Year,Current Living Arrangement,Average Daily Academic Screen Time (Hours),Average Daily Entertainment / Social Screen Time (Hours),"Over the past 2 weeks, how often have you felt nervous, anxious, or excessively stressed?",How frequently do racing thoughts or repetitive worry delay your sleep or relaxation?,How often do you experience difficulty concentrating or mental slowness during study sessions?,"How often over the past month have you felt a lack of energy, interest, or motivation in daily routines?",How frequently do you experience sudden irritability or mental exhaustion by the end of the day?,"On average, how many hours of uninterrupted sleep do you get per night?","Briefly describe the main factors (e.g., exams, habits, diet, screen time) that affect your emotional well-being most.",Average daily step count or walking duration (in Minutes),"Weekly physical exercise, sports, or gym activity frequency",Average consecutive hours spent sitting without taking an active break,Rate your overall physical energy level by evening,Average daily water intake (in Liters),Daily meal regularity,Which of these do you regularly eat or drink (3+ days a week)? (Select all that apply),How often do you experience digestive discomfort or bloating?
8/14/2026 20:14:33,Yes,Female,1st year,Hostel,9,3,2,5,5,5,5,3-4,Exams,45,0 days,5,1,2,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals",2
8/14/2026 20:16:09,Yes,Female,2nd year,Hostel,1,3,4,2,4,4,5,7,"Being away from home, academic pressure",5000 steps,0 days,4,2,4-5,Irregular/Random eating times,Fast Food / Fried Snacks / Junk Food,4
8/14/2026 20:16:17,Yes,Female,3rd year,Hostel,3,2,4,4,4,4,4,4,academic stress,count- 7000,0 days,3,2,4,3 regular meals,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",4
8/14/2026 20:17:16,Yes,Male,2nd year,Hostel,4-5,8-9,4,4,4,5,4,5-6,Spending time with some specific friends and chatting with the girl i likr,8000,5+ days,Dont know,4,2 -3,3 regular meals,"Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/14/2026 20:30:44,Yes,Male,2nd year,Hostel,7,2,1,1,3,2,2,7,"The main factor is the physical activities i perform apart from academics and a fixed sleeping and wakeup times.
The physical activities like running or gym makes life more disciplined.",17000,5+ days,4,3,6,Skip 1 meal daily,"High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",2
8/14/2026 20:48:07,Yes,Female,3rd year,Hostel,3-4,1-1.5,3,3,4,4,3,6-7,"Academics, food",7-9k,3-4 days,2-3,3,3L,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals",4
8/14/2026 20:58:39,Yes,Male,3rd year,Flat/PG,2hr,6hr,2,4,3,4,4,5hr,Jssjj,Djdj,3-4 days,Jssj,3,Hddh,Skip 1 meal daily,"Fresh Fruits / Vegetables, Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals",4
8/14/2026 20:59:34,Yes,Female,1st year,Hostel,4,2,1,4,3,2,3,5,Habits,7700 step count,1-2 days,5,3,2,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/14/2026 21:27:49,Yes,Male,2nd year,Hostel,3,7,4,3,3,2,2,7,Habits,30,3-4 days,2,3,3,3 regular meals,Home-cooked / Mess-cooked balanced meals,3
8/14/2026 21:29:40,Yes,Female,1st year,Hostel,4 hours,3 hours,2,2,4,3,3,7-8,"Diet, exams.",5-6K,3-4 days,3-4 hours,4,2 litres,Skip 1 meal daily,"Fresh Fruits / Vegetables, Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/14/2026 21:51:17,Yes,Male,2nd year,Living with Family,1/8 hour,8/1 hour ,1,5,4,3,4,7 or 6,Exams and screen time,7000,1-2 days,2-3,2,2-3 L,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",1
8/14/2026 21:54:08,Yes,Male,3rd year,Flat/PG,6-7 hours,2-3 hours,2,1,2,2,2,7 hours,Relationships affect the emotional well-being most,12000 Steps,5+ days,2 hours,4,3-4 litres,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 21:56:34,Yes,Male,2nd year,Hostel,2,6,3,3,4,5,5,7,"Diet, screen time",60,5+ days,3,3,3,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 21:56:58,Yes,Male,3rd year,Hostel,6,2,5,4,4,5,5,5 to 6,"Comparison with others, overthinking and lack of confidence ",180 minutes ,1-2 days,No idea ,2,3,Skip 1 meal daily,"Fresh Fruits / Vegetables, Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",4
8/14/2026 21:57:05,Yes,Male,2nd year,Living with Family,4,5,3,1,2,5,1,8,habit,30,3-4 days,2,3,3,3 regular meals,Home-cooked / Mess-cooked balanced meals,1
8/14/2026 21:58:30,Yes,Male,2nd year,Hostel,2,6,2,3,5,5,3,7,Sleep schedule is not perfect,60,5+ days,3,4,3,Skip 1 meal daily,"High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 22:05:41,Yes,Female,1st year,Living with Family,6,8,3,2,3,2,4,6,Diet,60,0 days,2,3,3,3 regular meals,Home-cooked / Mess-cooked balanced meals,3
8/14/2026 22:06:35,Yes,Female,2nd year,Living with Family,4 hours,3 hours,3,3,3,3,3,Rarerl,Diet,900-1000,1-2 days,Half an hour,1,1liter,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals",3
8/14/2026 22:08:23,Yes,Female,2nd year,Hostel,2,4,2,5,4,3,2,7,People,7000 steps,5+ days,3,4,2,3 regular meals,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",3
8/14/2026 22:08:39,Yes,Male,2nd year,Living with Family,5 hours,4 hours,2,2,4,4,4,4 hours,"Academics, screen time",60 minutes ,3-4 days,1 hour ,2,4 liters,3 regular meals,"High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",1
8/14/2026 22:08:58,Yes,Male,1st year,Living with Family,2,2,1,1,1,1,1,4,Nothing affects me right now ,500 mins,5+ days,3,4,5,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",1
8/14/2026 22:09:42,Yes,Female,2nd year,Living with Family,4 to 5,3 to 4,4,4,3,2,2,5 to 6,Screen time ,1000,1-2 days,2 to 3 ,4,2 litr,Irregular/Random eating times,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Sugary Drinks / Energy Drinks / Excessive Caffeine, Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",3
8/14/2026 22:16:09,Yes,Female,2nd year,Living with Family,4hours ,3 hours ,5,3,3,5,5,7 hours ,Health and relationship with my close ones like family and close friends ,5000-6000 steps ,1-2 days,1 hour ,2,2 litres ,Irregular/Random eating times,"Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",3
8/14/2026 22:21:10,Yes,Male,1st year,Living with Family,3,5,3,2,4,4,3,7,"use of instagram, and daily travel to college take a toll",12000 steps,3-4 days,1,4,4,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals",1
8/14/2026 22:25:24,Yes,Female,2nd year,Living with Family,6hours,4hrs,2,2,2,3,3,9hrs,Exams,123 minutes,1-2 days,6hrs,3,1 liter,Skip 1 meal daily,"High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",4
8/14/2026 22:25:52,Yes,Male,4th year,Living with Family,15,2,5,5,5,5,5,"Since I'm an AI, I don't sleep myself, but for someone working night shifts, the goal should be 7-9 hours of quality daytime sleep, achieved by keeping a consistent sleep-wake schedule even on days off, making your bedroom as dark and cool as possible with blackout curtains or an eye mask, wearing sunglasses on your commute home to avoid morning light that signals your brain to wake up, avoiding caffeine in the second half of your shift, and using white noise or earplugs to block out daytime noise so your body can get the deep, restorative rest it needs despite working against its natural rhythm.","Honestly, working night shifts really messes with my emotional well-being in ways I didn't expect. Getting only about 5 hours of sleep means I'm constantly running on a deficit, so I more irritable, less patient, and my mood swings a lot more than it used to. Exams or any extra pressure on top of that feel ten times harder to handle because my brain just isn't recovering properly. My habits have gotten messier too. I skip meals or eat junk because I'm too tired to cook, and that crash in energy makes everything feel heavier emotionally. Screen time is another big one after a night shift I end up scrolling on my phone instead of sleeping, which eats into my already limited rest and leaves me more anxious and foggy the next day. On top of that, my social life kind of suffers since my schedule doesn't match anyone else's, so I feel isolated a lot of the time, which adds to the stress. It's a cycle bad sleep leads to bad habits, bad habits lead to low mood, and low mood makes it even harder to fix any of it.",10000 to 15000 ,3-4 days,"my 8-hour night shift, I spend long stretches sitting — usually around 3 to 4 hours at a stretch before I get any real break. I do get a total of 45 minutes off, split into a 30-minute break and a shorter 15-minute one, which helps break up the sitting a bit. During those breaks, and sometimes even at random points during the shift, I try to sneak in some pushups, squats, and a bit of dumbbell work just to get my body moving and counter all the sitting. It's not perfect — 3-4 hours is still a long time to be sedentary — but those short bursts of activity help offset some of the stiffness and sluggishness that comes from sitting that long.",2,5 liters ,Skip 1 meal daily,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",2
8/14/2026 22:28:53,Yes,Female,2nd year,Hostel,8,3,3,2,3,2,4,5,habits ,12000 steps ,1-2 days,4-6,3,1.5,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 22:29:54,Yes,Male,3rd year,Flat/PG,6,5-6,3,3,4,3,3,8-10,Habits,20 maybe,1-2 days,1,3,2-3,Irregular/Random eating times,"Fresh Fruits / Vegetables, Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",3
8/14/2026 22:33:11,Yes,Male,2nd year,Living with Family,3 hours approx,30 min based on limit,3,3,3,3,3,6-7 hours,Distraction like something attractive neraby me ,No specifically know,5+ days,Dont know excatly,3,3-4 liter,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",3
8/14/2026 22:34:11,Yes,Male,2nd year,Hostel,5,2,2,1,2,4,4,6,Habits ,"10,000",1-2 days,2,3,3,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 22:39:16,Yes,Male,1st year,Living with Family,4 hour,2 hours,3,2,2,2,3,4 hours,pressure study screen time,45,3-4 days,2,5,2.5,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals",2
8/14/2026 22:45:00,Yes,Male,4th year,Flat/PG,4,5,3,3,3,3,3,7,None,120,1-2 days,4,3,2 - 3,3 regular meals,"Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 22:47:18,Yes,Male,4th year,Living with Family,6 hr,5 hr,2,1,1,1,2,4 hours,Diet,25,5+ days,1 hours,3,3 liters,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/14/2026 22:49:14,Yes,Male,1st year,Living with Family,4,5,3,4,2,2,4,7,Exams ,Na,0 days,1,3,2-3,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine",1
8/14/2026 22:51:46,Yes,Male,2nd year,Living with Family,3,2,3,4,3,3,2,6,Screen time,10000 steps,5+ days,2,4,3l,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/14/2026 22:55:57,Yes,Female,1st year,Living with Family,2hours ,5 hours ,3,1,3,3,3, 6hours ,Study ,5minutes ,0 days,1hours ,3,2liters ,3 regular meals,Fresh Fruits / Vegetables,1
8/14/2026 22:57:51,Yes,Male,2nd year,Hostel,8 hours,4 hours,2,3,3,3,4,5 hours ,"Not very much productive Habits , poor sleep schedule ",7000,3-4 days,3 hours ,3,2 liters,Skip 1 meal daily,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",1
8/14/2026 23:00:08,Yes,Male,1st year,Hostel,8hrs,2hr,2,2,2,2,2,7hrs,Exams,1hr,0 days,2hrs,3,2,3 regular meals,Home-cooked / Mess-cooked balanced meals,3
8/14/2026 23:01:44,Yes,Male,2nd year,Living with Family,7-8,2-3,2,3,4,2,3,8-9,Habits and social media,500 counts,1-2 days,1,3,3-4,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals",1
8/14/2026 23:04:06,Yes,Male,2nd year,Hostel,1,5,5,5,3,4,4,6,screen time(especially overload of useful infotainment reels ),8000,5+ days,5,2,4,3 regular meals,"High-Protein items (Eggs, Paneer, Meat, Pulses), Sugary Drinks / Energy Drinks / Excessive Caffeine, Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",2
8/14/2026 23:06:18,Yes,Female,1st year,Hostel,3 to 4 hours,3,4,3,5,2,4,5,"Academic pressure, hectic college life ","10,000",3-4 days,2 hours,1,0.5,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/14/2026 23:14:37,Yes,Male,2nd year,Hostel,3-4 hrs,6-7hrs,2,4,4,4,3,4-5,"Habits do mainly as they are the main reason behind anything I do
",10k+,1-2 days,3-4,3,4-5,Irregular/Random eating times,"Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",3
8/14/2026 23:18:25,Yes,Male,1st year,Hostel,7-8 hrs,4-5 hrs,2,2,3,2,3,5-6hrs,Because of busy shedule I am not Abel to work on myself ,10thoudand steps ,3-4 days,4-5 hrs,3,2-3 liter,Irregular/Random eating times,"Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 23:18:33,Yes,Male,2nd year,Hostel,3-4,6-7,2,3,3,3,4,5-6,Mainly habits as they play a major role in what I do,10k+,1-2 days,3-4,3,5-6,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",3
8/14/2026 23:23:28,Yes,Male,1st year,Living with Family,7,3,1,2,1,3,1,8,When things don't go my way and when I do not get a peacefull morning then my mood gets bad and I get irritated for hour or so ,Idk ,5+ days,1 hour ,2,4L,3 regular meals,"High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",4
8/14/2026 23:27:35,Yes,Male,2nd year,Hostel,5 hrs,3 hrs,2,2,3,4,4,5.5hr,Habits,120,1-2 days,6hr,1,4-5 l,3 regular meals,"Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/14/2026 23:47:38,Yes,Male,2nd year,Hostel,4,2,2,2,3,4,3,6,Mental health,"15,000",1-2 days,2,4,3,Skip 1 meal daily,"High-Protein items (Eggs, Paneer, Meat, Pulses)",4
8/14/2026 23:56:13,Yes,Male,2nd year,Living with Family,6,4,4,4,2,3,4,3,Overthinking,8000 steps,5+ days,3,5,3,3 regular meals,"High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 23:56:18,Yes,Male,2nd year,Hostel,2,7,2,3,4,4,4,8,Habits,140 mins,5+ days,2,4,Dk,Irregular/Random eating times,Fast Food / Fried Snacks / Junk Food,2
8/15/2026 0:02:35,Yes,Female,1st year,Hostel,4,3,1,1,5,5,5,8,Diet,5000,5+ days,6,5,4,Skip 1 meal daily,Home-cooked / Mess-cooked balanced meals,5
8/15/2026 0:20:19,Yes,Male,1st year,Living with Family,8 hours,4 hours,1,1,2,2,2,7,Exam,1 hr,5+ days,2 hours,5,6 liters,3 regular meals,"Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",2
8/15/2026 0:50:01,Yes,Female,3rd year,Hostel,4hrs,3 hrs,4,4,3,3,3,6 hrs,"Screen time, and exam stress",6 thousand steps ,3-4 days,2 hrs,3,2 litres,Skip 1 meal daily,"Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",3
8/15/2026 1:03:34,Yes,Male,3rd year,Living with Family,3,4,4,4,5,5,5,4,"Diet, exams",10000 steps,5+ days,1,1,3,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals",3
8/15/2026 2:13:51,Yes,Female,2nd year,Hostel,8-9,5-6,4,5,5,4,3,5,Habits ,6000,1-2 days,4,1,1,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals",3
8/15/2026 2:33:54,Yes,Male,3rd year,Hostel,6,4,2,3,3,4,2,4-5,"Friendship in college is too complicated, politics of the council ",1-2 hr,3-4 days,2-3,3,2-3,Skip 1 meal daily,"Sugary Drinks / Energy Drinks / Excessive Caffeine, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/15/2026 3:43:20,Yes,Male,2nd year,Hostel,10,8,5,4,5,4,5,5,"Screen time, habits and diet ","10,000 steps",1-2 days,4,1,3,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",3
8/15/2026 6:23:19,Yes,Female,1st year,Living with Family,6-7 hr,4:57 hr,3,5,3,2,3,3-4,When I go to sleep at night it feels like my brain isn't that tired and makes me asleep. Even after having 3-4 hr sleep . Sometimes I have lucid dreams too .,4000,3-4 days,6-7,3,3,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",5
